date,game_label,player,rw_team,rw_projected,our_projected,actual_minutes,proj_source,rw_date_source
2026-07-17,Atlanta Dream vs Toronto Tempo,Tima Pouye,Toronto Tempo,10.0,9.5,2.7,replay,inferred
2026-07-17,Chicago Sky vs Los Angeles Sparks,Emma Cannon,Los Angeles Sparks,5.0,5.4,2.4,replay,inferred
2026-07-17,Chicago Sky vs Los Angeles Sparks,Kiana Williams,Los Angeles Sparks,9.0,0.0,,replay,inferred
2026-07-17,Atlanta Dream vs Toronto Tempo,Madina Okot,Atlanta Dream,5.0,8.2,3.9,replay,inferred
2026-07-17,Indiana Fever vs Seattle Storm,Tyasha Harris,Indiana Fever,10.0,17.9,13.7,replay,inferred
2026-07-17,Connecticut Sun vs Phoenix Mercury,Gianna Kneepkens,Connecticut Sun,7.0,0.0,3.3,replay,inferred
2026-07-17,Atlanta Dream vs Toronto Tempo,Te-Hina Paopao,Atlanta Dream,7.0,0.0,,replay,inferred
2026-07-17,Chicago Sky vs Los Angeles Sparks,Kate Martin,Los Angeles Sparks,6.0,0.0,1.4,replay,inferred
2026-07-17,Atlanta Dream vs Toronto Tempo,Isobel Borlase,Atlanta Dream,5.0,14.3,19.1,replay,inferred
2026-07-17,Indiana Fever vs Seattle Storm,Makayla Timpson,Indiana Fever,6.0,24.1,32.4,replay,inferred
2026-07-17,Indiana Fever vs Seattle Storm,Mackenzie Holmes,Seattle Storm,5.0,0.0,,replay,inferred
2026-07-17,Connecticut Sun vs Phoenix Mercury,Hailey Van Lith,Connecticut Sun,2.0,0.0,,replay,inferred
2026-07-17,Chicago Sky vs Los Angeles Sparks,Chance Gray,Los Angeles Sparks,3.0,0.0,14.7,replay,inferred
2026-07-17,Indiana Fever vs Seattle Storm,Taylor Thierry,Seattle Storm,4.0,0.0,,replay,inferred
2026-07-17,Atlanta Dream vs Toronto Tempo,Sika Kone,Atlanta Dream,2.0,4.2,0.9,replay,inferred
2026-07-17,Connecticut Sun vs Phoenix Mercury,Nell Angloma,Connecticut Sun,2.0,10.6,3.1,replay,inferred
2026-07-17,Connecticut Sun vs Phoenix Mercury,Kyara Linskens,Phoenix Mercury,2.0,0.0,,replay,inferred
2026-07-17,Connecticut Sun vs Phoenix Mercury,Raegan Beers,Connecticut Sun,2.0,9.8,3.3,replay,inferred
2026-07-17,Atlanta Dream vs Toronto Tempo,Teonni Key,Toronto Tempo,2.0,0.0,0.9,replay,inferred
2026-07-17,Indiana Fever vs Seattle Storm,Damiris Dantas,Indiana Fever,1.0,9.4,7.6,replay,inferred
2026-07-17,Connecticut Sun vs Phoenix Mercury,Shay Ciezki,Phoenix Mercury,1.0,0.0,,replay,inferred
2026-07-17,Indiana Fever vs Seattle Storm,Bree Hall,Indiana Fever,1.0,0.0,,replay,inferred
2026-07-17,Indiana Fever vs Seattle Storm,Grace VanSlooten,Indiana Fever,1.0,0.0,,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Breanna Stewart,New York Liberty,32.0,37.9,31.7,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Kelsey Mitchell,Indiana Fever,31.0,32.0,29.6,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Caitlin Clark,Indiana Fever,31.0,27.5,26.2,replay,inferred
2026-07-18,Minnesota Lynx vs Portland Fire,Kayla McBride,Minnesota Lynx,32.0,33.2,32.5,replay,inferred
2026-07-18,Minnesota Lynx vs Portland Fire,Natasha Howard,Minnesota Lynx,31.0,33.0,25.3,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Aliyah Boston,Indiana Fever,29.0,27.2,23.6,replay,inferred
2026-07-18,Minnesota Lynx vs Portland Fire,Olivia Miles,Minnesota Lynx,26.0,29.0,33.8,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Jonquel Jones,New York Liberty,29.0,33.4,27.4,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Sonia Citron,Washington Mystics,33.0,30.9,29.7,replay,inferred
2026-07-18,Indiana Fever vs New York Liberty,Sabrina Ionescu,New York Liberty,33.0,35.8,33.5,replay,inferred
2026-07-18,Minnesota Lynx vs Portland Fire,Courtney Williams,Minnesota Lynx,29.0,34.2,32.3,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Kiki Iriafen,Washington Mystics,30.0,27.4,24.1,replay,inferred
2026-07-18,Golden State Valkyries vs Washington Mystics,Gabby Williams,Golden State Valkyries,24.0,22.2,27.6,replay,inferred
2026-07-18,Minnesota Lynx vs Portland Fire,Carla Leite,Portland Fire,23.0,29.1,30.8,replay,inferred
2026-07-18,Minnesota Lynx vs Portland Fire,Megan Gustafson,Portland Fire,25.0,0.0,,replay,inferred
